t, Data, 
40927.900000, 2.480041e+03,
40928.000000, 2.480047e+03,
40928.100000, 2.480054e+03,
40928.200000, 2.480060e+03,
40928.300000, 2.480066e+03,
40928.400000, 2.480072e+03,
40928.500000, 2.480078e+03,
40928.600000, 2.480084e+03,
40928.700000, 2.480090e+03,
40928.800000, 2.480096e+03,
40928.900000, 2.480102e+03,
40929.000000, 2.480108e+03,
40929.100000, 2.480114e+03,
40929.200000, 2.480120e+03,
40929.300000, 2.480126e+03,
40929.400000, 2.480132e+03,
40929.500000, 2.480138e+03,
40929.600000, 2.480144e+03,
40929.700000, 2.480150e+03,
40929.800000, 2.480157e+03,
40929.900000, 2.480163e+03,
40930.000000, 2.480169e+03,
40930.100000, 2.480175e+03,
40930.200000, 2.480181e+03,
40930.300000, 2.480187e+03,
40930.400000, 2.480193e+03,
40930.500000, 2.480199e+03,
40930.600000, 2.480205e+03,
40930.700000, 2.480211e+03,
40930.800000, 2.480217e+03,
40930.900000, 2.480223e+03,
40931.000000, 2.480229e+03,
40931.100000, 2.480235e+03,
40931.200000, 2.480241e+03,
40931.300000, 2.480247e+03,
40931.400000, 2.480253e+03,
40931.500000, 2.480260e+03,
40931.600000, 2.480266e+03,
40931.700000, 2.480272e+03,
40931.800000, 2.480278e+03,
40931.900000, 2.480284e+03,
40932.000000, 2.480290e+03,
40932.100000, 2.480296e+03,
40932.200000, 2.480302e+03,
40932.300000, 2.480308e+03,
40932.400000, 2.480314e+03,
40932.500000, 2.480320e+03,
40932.600000, 2.480326e+03,
40932.700000, 2.480332e+03,
40932.800000, 2.480338e+03,
40932.900000, 2.480344e+03,
40933.000000, 2.480350e+03,
40933.100000, 2.480356e+03,
40933.200000, 2.480363e+03,
40933.300000, 2.480369e+03,
40933.400000, 2.480375e+03,
40933.500000, 2.480381e+03,
40933.600000, 2.480387e+03,
40933.700000, 2.480393e+03,
40933.800000, 2.480399e+03,
40933.900000, 2.480405e+03,
40934.000000, 2.480411e+03,
40934.100000, 2.480417e+03,
40934.200000, 2.480423e+03,
40934.300000, 2.480429e+03,
40934.400000, 2.480435e+03,
40934.500000, 2.480441e+03,
40934.600000, 2.480447e+03,
40934.700000, 2.480453e+03,
40934.800000, 2.480459e+03,
40934.900000, 2.480466e+03,
40935.000000, 2.480472e+03,
40935.100000, 2.480478e+03,
40935.200000, 2.480484e+03,
40935.300000, 2.480490e+03,
40935.400000, 2.480496e+03,
40935.500000, 2.480502e+03,
40935.600000, 2.480508e+03,
40935.700000, 2.480514e+03,
40935.800000, 2.480520e+03,
40935.900000, 2.480526e+03,
40936.000000, 2.480532e+03,
40936.100000, 2.480538e+03,
40936.200000, 2.480544e+03,
40936.300000, 2.480550e+03,
40936.400000, 2.480556e+03,
40936.500000, 2.480563e+03,
40936.600000, 2.480569e+03,
40936.700000, 2.480575e+03,
40936.800000, 2.480581e+03,
40936.900000, 2.480587e+03,
40937.000000, 2.480593e+03,
40937.100000, 2.480599e+03,
40937.200000, 2.480605e+03,
40937.300000, 2.480611e+03,
40937.400000, 2.480617e+03,
40937.500000, 2.480623e+03,
40937.600000, 2.480629e+03,
40937.700000, 2.480635e+03,
40937.800000, 2.480641e+03,
40937.900000, 2.480647e+03,
40938.000000, 2.480653e+03,
40938.100000, 2.480659e+03,
40938.200000, 2.480666e+03,
40938.300000, 2.480672e+03,
40938.400000, 2.480678e+03,
40938.500000, 2.480684e+03,
40938.600000, 2.480690e+03,
40938.700000, 2.480696e+03,
40938.800000, 2.480702e+03,
40938.900000, 2.480708e+03,
40939.000000, 2.480714e+03,
40939.100000, 2.480720e+03,
40939.200000, 2.480726e+03,
40939.300000, 2.480732e+03,
40939.400000, 2.480738e+03,
40939.500000, 2.480744e+03,
40939.600000, 2.480750e+03,
40939.700000, 2.480756e+03,
40939.800000, 2.480762e+03,
40939.900000, 2.480769e+03,
40940.000000, 2.480775e+03,
40940.100000, 2.480781e+03,
40940.200000, 2.480787e+03,
40940.300000, 2.480793e+03,
40940.400000, 2.480799e+03,
40940.500000, 2.480805e+03,
40940.600000, 2.480811e+03,
40940.700000, 2.480817e+03,
40940.800000, 2.480823e+03,
40940.900000, 2.480829e+03,
40941.000000, 2.480835e+03,
40941.100000, 2.480841e+03,
40941.200000, 2.480847e+03,
40941.300000, 2.480853e+03,
40941.400000, 2.480859e+03,
40941.500000, 2.480865e+03,
40941.600000, 2.480872e+03,
40941.700000, 2.480878e+03,
40941.800000, 2.480884e+03,
40941.900000, 2.480890e+03,
40942.000000, 2.480896e+03,
40942.100000, 2.480902e+03,
40942.200000, 2.480908e+03,
40942.300000, 2.480914e+03,
40942.400000, 2.480920e+03,
40942.500000, 2.480926e+03,
40942.600000, 2.480932e+03,
40942.700000, 2.480938e+03,
40942.800000, 2.480944e+03,
40942.900000, 2.480950e+03,
40943.000000, 2.480956e+03,
40943.100000, 2.480962e+03,
40943.200000, 2.480969e+03,
40943.300000, 2.480975e+03,
40943.400000, 2.480981e+03,
40943.500000, 2.480987e+03,
40943.600000, 2.480993e+03,
40943.700000, 2.480999e+03,
40943.800000, 2.481005e+03,
40943.900000, 2.481011e+03,
40944.000000, 2.481017e+03,
40944.100000, 2.481023e+03,
40944.200000, 2.481029e+03,
40944.300000, 2.481035e+03,
40944.400000, 2.481041e+03,
40944.500000, 2.481047e+03,
40944.600000, 2.481053e+03,
40944.700000, 2.481059e+03,
40944.800000, 2.481065e+03,
40944.900000, 2.481072e+03,
40945.000000, 2.481078e+03,
40945.100000, 2.481084e+03,
40945.200000, 2.481090e+03,
40945.300000, 2.481096e+03,
40945.400000, 2.481102e+03,
40945.500000, 2.481108e+03,
40945.600000, 2.481114e+03,
40945.700000, 2.481120e+03,
40945.800000, 2.481126e+03,
40945.900000, 2.481132e+03,
40946.000000, 2.481138e+03,
40946.100000, 2.481144e+03,
40946.200000, 2.481150e+03,
40946.300000, 2.481156e+03,
40946.400000, 2.481162e+03,
40946.500000, 2.481168e+03,
40946.600000, 2.481175e+03,
40946.700000, 2.481181e+03,
40946.800000, 2.481187e+03,
40946.900000, 2.481193e+03,
40947.000000, 2.481199e+03,
40947.100000, 2.481205e+03,
40947.200000, 2.481211e+03,
40947.300000, 2.481217e+03,
40947.400000, 2.481223e+03,
40947.500000, 2.481229e+03,
40947.600000, 2.481235e+03,
40947.700000, 2.481241e+03,
40947.800000, 2.481247e+03,
40947.900000, 2.481253e+03,
40948.000000, 2.481259e+03,
40948.100000, 2.481265e+03,
40948.200000, 2.481271e+03,
40948.300000, 2.481278e+03,
40948.400000, 2.481284e+03,
40948.500000, 2.481290e+03,
40948.600000, 2.481296e+03,
40948.700000, 2.481302e+03,
40948.800000, 2.481308e+03,
40948.900000, 2.481314e+03,
40949.000000, 2.481320e+03,
40949.100000, 2.481326e+03,
40949.200000, 2.481332e+03,
40949.300000, 2.481338e+03,
40949.400000, 2.481344e+03,
40949.500000, 2.481350e+03,
40949.600000, 2.481356e+03,
40949.700000, 2.481362e+03,
40949.800000, 2.481368e+03,
40949.900000, 2.481374e+03,
40950.000000, 2.481381e+03,
40950.100000, 2.481387e+03,
40950.200000, 2.481393e+03,
40950.300000, 2.481399e+03,
40950.400000, 2.481405e+03,
40950.500000, 2.481411e+03,
40950.600000, 2.481417e+03,
40950.700000, 2.481423e+03,
40950.800000, 2.481429e+03,
40950.900000, 2.481435e+03,
40951.000000, 2.481441e+03,
40951.100000, 2.481447e+03,
40951.200000, 2.481453e+03,
40951.300000, 2.481459e+03,
40951.400000, 2.481465e+03,
40951.500000, 2.481471e+03,
40951.600000, 2.481478e+03,
40951.700000, 2.481484e+03,
40951.800000, 2.481490e+03,
40951.900000, 2.481496e+03,
40952.000000, 2.481502e+03,
40952.100000, 2.481508e+03,
40952.200000, 2.481514e+03,
40952.300000, 2.481520e+03,
40952.400000, 2.481526e+03,
40952.500000, 2.481532e+03,
40952.600000, 2.481538e+03,
40952.700000, 2.481544e+03,
40952.800000, 2.481550e+03,
40952.900000, 2.481556e+03,
40953.000000, 2.481562e+03,
40953.100000, 2.481568e+03,
40953.200000, 2.481574e+03,
40953.300000, 2.481581e+03,
40953.400000, 2.481587e+03,
40953.500000, 2.481593e+03,
40953.600000, 2.481599e+03,
40953.700000, 2.481605e+03,
40953.800000, 2.481611e+03,
40953.900000, 2.481617e+03,
40954.000000, 2.481623e+03,
40954.100000, 2.481629e+03,
40954.200000, 2.481635e+03,
40954.300000, 2.481641e+03,
40954.400000, 2.481647e+03,
40954.500000, 2.481653e+03,
40954.600000, 2.481659e+03,
40954.700000, 2.481665e+03,
40954.800000, 2.481671e+03,
40954.900000, 2.481677e+03,
40955.000000, 2.481684e+03,
40955.100000, 2.481690e+03,
40955.200000, 2.481696e+03,
40955.300000, 2.481702e+03,
40955.400000, 2.481708e+03,
40955.500000, 2.481714e+03,
40955.600000, 2.481720e+03,
40955.700000, 2.481726e+03,
40955.800000, 2.481732e+03,
40955.900000, 2.481738e+03,
40956.000000, 2.481744e+03,
40956.100000, 2.481750e+03,
40956.200000, 2.481756e+03,
40956.300000, 2.481762e+03,
40956.400000, 2.481768e+03,
40956.500000, 2.481774e+03,
40956.600000, 2.481780e+03,
40956.700000, 2.481787e+03,
40956.800000, 2.481793e+03,
40956.900000, 2.481799e+03,
40957.000000, 2.481805e+03,
40957.100000, 2.481811e+03,
40957.200000, 2.481817e+03,
40957.300000, 2.481823e+03,
40957.400000, 2.481829e+03,
40957.500000, 2.481835e+03,
40957.600000, 2.481841e+03,
40957.700000, 2.481847e+03,
40957.800000, 2.481853e+03,
40957.900000, 2.481859e+03,
40958.000000, 2.481865e+03,
40958.100000, 2.481871e+03,
40958.200000, 2.481877e+03,
40958.300000, 2.481883e+03,
40958.400000, 2.481890e+03,
40958.500000, 2.481896e+03,
40958.600000, 2.481902e+03,
40958.700000, 2.481908e+03,
40958.800000, 2.481914e+03,
40958.900000, 2.481920e+03,
40959.000000, 2.481926e+03,
40959.100000, 2.481932e+03,
40959.200000, 2.481938e+03,
40959.300000, 2.481944e+03,
40959.400000, 2.481950e+03,
40959.500000, 2.481956e+03,
40959.600000, 2.481962e+03,
40959.700000, 2.481968e+03,
40959.800000, 2.481974e+03,
40959.900000, 2.481980e+03,
40960.000000, 2.481987e+03,
40960.100000, 2.481993e+03,
40960.200000, 2.481999e+03,
40960.300000, 2.482005e+03,
40960.400000, 2.482011e+03,
40960.500000, 2.482017e+03,
40960.600000, 2.482023e+03,
40960.700000, 2.482029e+03,
40960.800000, 2.482035e+03,
40960.900000, 2.482041e+03,
40961.000000, 2.482047e+03,
40961.100000, 2.482053e+03,
40961.200000, 2.482059e+03,
40961.300000, 2.482065e+03,
40961.400000, 2.482071e+03,
40961.500000, 2.482077e+03,
40961.600000, 2.482083e+03,
40961.700000, 2.482090e+03,
40961.800000, 2.482096e+03,
40961.900000, 2.482102e+03,
40962.000000, 2.482108e+03,
40962.100000, 2.482114e+03,
40962.200000, 2.482120e+03,
40962.300000, 2.482126e+03,
40962.400000, 2.482132e+03,
40962.500000, 2.482138e+03,
40962.600000, 2.482144e+03,
40962.700000, 2.482150e+03,
40962.800000, 2.482156e+03,
40962.900000, 2.482162e+03,
40963.000000, 2.482168e+03,
40963.100000, 2.482174e+03,
40963.200000, 2.482180e+03,
40963.300000, 2.482186e+03,
40963.400000, 2.482193e+03,
40963.500000, 2.482199e+03,
40963.600000, 2.482205e+03,
40963.700000, 2.482211e+03,
40963.800000, 2.482217e+03,
40963.900000, 2.482223e+03,
40964.000000, 2.482229e+03,
40964.100000, 2.482235e+03,
40964.200000, 2.482241e+03,
40964.300000, 2.482247e+03,
40964.400000, 2.482253e+03,
40964.500000, 2.482259e+03,
40964.600000, 2.482265e+03,
40964.700000, 2.482271e+03,
40964.800000, 2.482277e+03,
40964.900000, 2.482283e+03,
40965.000000, 2.482289e+03,
40965.100000, 2.482296e+03,
40965.200000, 2.482302e+03,
40965.300000, 2.482308e+03,
40965.400000, 2.482314e+03,
40965.500000, 2.482320e+03,
40965.600000, 2.482326e+03,
40965.700000, 2.482332e+03,
40965.800000, 2.482338e+03,
40965.900000, 2.482344e+03,
40966.000000, 2.482350e+03,
40966.100000, 2.482356e+03,
40966.200000, 2.482362e+03,
40966.300000, 2.482368e+03,
40966.400000, 2.482374e+03,
40966.500000, 2.482380e+03,
40966.600000, 2.482386e+03,
40966.700000, 2.482392e+03,
40966.800000, 2.482399e+03,
40966.900000, 2.482405e+03,
40967.000000, 2.482411e+03,
40967.100000, 2.482417e+03,
40967.200000, 2.482423e+03,
40967.300000, 2.482429e+03,
40967.400000, 2.482435e+03,
40967.500000, 2.482441e+03,
40967.600000, 2.482447e+03,
40967.700000, 2.482453e+03,
40967.800000, 2.482459e+03,
40967.900000, 2.482465e+03,
40968.000000, 2.482471e+03,
40968.100000, 2.482477e+03,
40968.200000, 2.482483e+03,
40968.300000, 2.482489e+03,
40968.400000, 2.482496e+03,
40968.500000, 2.482502e+03,
40968.600000, 2.482508e+03,
40968.700000, 2.482514e+03,
40968.800000, 2.482520e+03,
40968.900000, 2.482526e+03,
40969.000000, 2.482532e+03,
40969.100000, 2.482538e+03,
40969.200000, 2.482544e+03,
40969.300000, 2.482550e+03,
40969.400000, 2.482556e+03,
40969.500000, 2.482562e+03,
40969.600000, 2.482568e+03,
40969.700000, 2.482574e+03,
40969.800000, 2.482580e+03,
40969.900000, 2.482586e+03,
40970.000000, 2.482592e+03,
40970.100000, 2.482599e+03,
40970.200000, 2.482605e+03,
40970.300000, 2.482611e+03,
40970.400000, 2.482617e+03,
40970.500000, 2.482623e+03,
40970.600000, 2.482629e+03,
40970.700000, 2.482635e+03,
40970.800000, 2.482641e+03,
40970.900000, 2.482647e+03,
40971.000000, 2.482653e+03,
40971.100000, 2.482659e+03,
40971.200000, 2.482665e+03,
40971.300000, 2.482671e+03,
40971.400000, 2.482677e+03,
40971.500000, 2.482683e+03,
40971.600000, 2.482689e+03,
40971.700000, 2.482695e+03,
40971.800000, 2.482702e+03,
40971.900000, 2.482708e+03,
40972.000000, 2.482714e+03,
40972.100000, 2.482720e+03,
40972.200000, 2.482726e+03,
40972.300000, 2.482732e+03,
40972.400000, 2.482738e+03,
40972.500000, 2.482744e+03,
40972.600000, 2.482750e+03,
40972.700000, 2.482756e+03,
40972.800000, 2.482762e+03,
40972.900000, 2.482768e+03,
40973.000000, 2.482774e+03,
40973.100000, 2.482780e+03,
40973.200000, 2.482786e+03,
40973.300000, 2.482792e+03,
40973.400000, 2.482798e+03,
40973.500000, 2.482805e+03,
40973.600000, 2.482811e+03,
40973.700000, 2.482817e+03,
40973.800000, 2.482823e+03,
40973.900000, 2.482829e+03,
40974.000000, 2.482835e+03,
40974.100000, 2.482841e+03,
40974.200000, 2.482847e+03,
40974.300000, 2.482853e+03,
40974.400000, 2.482859e+03,
40974.500000, 2.482865e+03,
40974.600000, 2.482871e+03,
40974.700000, 2.482877e+03,
40974.800000, 2.482883e+03,
40974.900000, 2.482889e+03,
40975.000000, 2.482895e+03,
40975.100000, 2.482901e+03,
40975.200000, 2.482908e+03,
40975.300000, 2.482914e+03,
40975.400000, 2.482920e+03,
40975.500000, 2.482926e+03,
40975.600000, 2.482932e+03,
40975.700000, 2.482938e+03,
40975.800000, 2.482944e+03,
40975.900000, 2.482950e+03,
40976.000000, 2.482956e+03,
40976.100000, 2.482962e+03,
40976.200000, 2.482968e+03,
40976.300000, 2.482974e+03,
40976.400000, 2.482980e+03,
40976.500000, 2.482986e+03,
40976.600000, 2.482992e+03,
40976.700000, 2.482998e+03,
40976.800000, 2.483005e+03,
40976.900000, 2.483011e+03,
40977.000000, 2.483017e+03,
40977.100000, 2.483023e+03,
40977.200000, 2.483029e+03,
40977.300000, 2.483035e+03,
40977.400000, 2.483041e+03,
40977.500000, 2.483047e+03,
40977.600000, 2.483053e+03,
40977.700000, 2.483059e+03,
40977.800000, 2.483065e+03,
40977.900000, 2.483071e+03,
40978.000000, 2.483077e+03,
40978.100000, 2.483083e+03,
40978.200000, 2.483089e+03,
40978.300000, 2.483095e+03,
40978.400000, 2.483101e+03,
40978.500000, 2.483108e+03,
40978.600000, 2.483114e+03,
40978.700000, 2.483120e+03,
40978.800000, 2.483126e+03,
40978.900000, 2.483132e+03,
40979.000000, 2.483138e+03,
40979.100000, 2.483144e+03,
40979.200000, 2.483150e+03,
40979.300000, 2.483156e+03,
40979.400000, 2.483162e+03,
40979.500000, 2.483168e+03,
40979.600000, 2.483174e+03,
40979.700000, 2.483180e+03,
40979.800000, 2.483186e+03,
40979.900000, 2.483192e+03,
40980.000000, 2.483198e+03,
40980.100000, 2.483204e+03,
40980.200000, 2.483211e+03,
40980.300000, 2.483217e+03,
40980.400000, 2.483223e+03,
40980.500000, 2.483229e+03,
40980.600000, 2.483235e+03,
40980.700000, 2.483241e+03,
40980.800000, 2.483247e+03,
40980.900000, 2.483253e+03,
40981.000000, 2.483259e+03,
40981.100000, 2.483265e+03,
40981.200000, 2.483271e+03,
40981.300000, 2.483277e+03,
40981.400000, 2.483283e+03,
40981.500000, 2.483289e+03,
40981.600000, 2.483295e+03,
40981.700000, 2.483301e+03,
40981.800000, 2.483307e+03,
40981.900000, 2.483314e+03,
40982.000000, 2.483320e+03,
40982.100000, 2.483326e+03,
40982.200000, 2.483332e+03,
40982.300000, 2.483338e+03,
40982.400000, 2.483344e+03,
40982.500000, 2.483350e+03,
40982.600000, 2.483356e+03,
40982.700000, 2.483362e+03,
40982.800000, 2.483368e+03,
40982.900000, 2.483374e+03,
40983.000000, 2.483380e+03,
40983.100000, 2.483386e+03,
40983.200000, 2.483392e+03,
40983.300000, 2.483398e+03,
40983.400000, 2.483404e+03,
40983.500000, 2.483410e+03,
40983.600000, 2.483417e+03,
40983.700000, 2.483423e+03,
40983.800000, 2.483429e+03,
40983.900000, 2.483435e+03,
40984.000000, 2.483441e+03,
40984.100000, 2.483447e+03,
40984.200000, 2.483453e+03,
40984.300000, 2.483459e+03,
40984.400000, 2.483465e+03,
40984.500000, 2.483471e+03,
40984.600000, 2.483477e+03,
40984.700000, 2.483483e+03,
40984.800000, 2.483489e+03,
40984.900000, 2.483495e+03,
40985.000000, 2.483501e+03,
40985.100000, 2.483507e+03,
40985.200000, 2.483514e+03,
40985.300000, 2.483520e+03,
40985.400000, 2.483526e+03,
40985.500000, 2.483532e+03,
40985.600000, 2.483538e+03,
40985.700000, 2.483544e+03,
40985.800000, 2.483550e+03,
40985.900000, 2.483556e+03,
40986.000000, 2.483562e+03,
40986.100000, 2.483568e+03,
40986.200000, 2.483574e+03,
40986.300000, 2.483580e+03,
40986.400000, 2.483586e+03,
40986.500000, 2.483592e+03,
40986.600000, 2.483598e+03,
40986.700000, 2.483604e+03,
40986.800000, 2.483610e+03,
40986.900000, 2.483617e+03,
40987.000000, 2.483623e+03,
40987.100000, 2.483629e+03,
40987.200000, 2.483635e+03,
40987.300000, 2.483641e+03,
40987.400000, 2.483647e+03,
40987.500000, 2.483653e+03,
40987.600000, 2.483659e+03,
40987.700000, 2.483665e+03,
40987.800000, 2.483671e+03,
40987.900000, 2.483677e+03,
40988.000000, 2.483683e+03,
40988.100000, 2.483689e+03,
40988.200000, 2.483695e+03,
40988.300000, 2.483701e+03,
40988.400000, 2.483707e+03,
40988.500000, 2.483713e+03,
40988.600000, 2.483720e+03,
40988.700000, 2.483726e+03,
40988.800000, 2.483732e+03,
40988.900000, 2.483738e+03,
40989.000000, 2.483744e+03,
40989.100000, 2.483750e+03,
40989.200000, 2.483756e+03,
40989.300000, 2.483762e+03,
40989.400000, 2.483768e+03,
40989.500000, 2.483774e+03,
40989.600000, 2.483780e+03,
40989.700000, 2.483786e+03,
40989.800000, 2.483792e+03,
40989.900000, 2.483798e+03,
40990.000000, 2.483804e+03,
40990.100000, 2.483810e+03,
40990.200000, 2.483816e+03,
40990.300000, 2.483823e+03,
40990.400000, 2.483829e+03,
40990.500000, 2.483835e+03,
40990.600000, 2.483841e+03,
40990.700000, 2.483847e+03,
40990.800000, 2.483853e+03,
40990.900000, 2.483859e+03,
40991.000000, 2.483865e+03,
40991.100000, 2.483871e+03,
40991.200000, 2.483877e+03,
40991.300000, 2.483883e+03,
40991.400000, 2.483889e+03,
40991.500000, 2.483895e+03,
40991.600000, 2.483901e+03,
40991.700000, 2.483907e+03,
40991.800000, 2.483913e+03,
40991.900000, 2.483919e+03,
40992.000000, 2.483926e+03,
40992.100000, 2.483932e+03,
40992.200000, 2.483938e+03,
40992.300000, 2.483944e+03,
40992.400000, 2.483950e+03,
40992.500000, 2.483956e+03,
40992.600000, 2.483962e+03,
40992.700000, 2.483968e+03,
40992.800000, 2.483974e+03,
40992.900000, 2.483980e+03,
40993.000000, 2.483986e+03,
40993.100000, 2.483992e+03,
40993.200000, 2.483998e+03,
40993.300000, 2.484004e+03,
40993.400000, 2.484010e+03,
40993.500000, 2.484016e+03,
40993.600000, 2.484023e+03,
40993.700000, 2.484029e+03,
40993.800000, 2.484035e+03,
40993.900000, 2.484041e+03,
40994.000000, 2.484047e+03,
40994.100000, 2.484053e+03,
40994.200000, 2.484059e+03,
40994.300000, 2.484065e+03,
40994.400000, 2.484071e+03,
40994.500000, 2.484077e+03,
40994.600000, 2.484083e+03,
40994.700000, 2.484089e+03,
40994.800000, 2.484095e+03,
40994.900000, 2.484101e+03,
40995.000000, 2.484107e+03,
40995.100000, 2.484113e+03,
40995.200000, 2.484119e+03,
40995.300000, 2.484126e+03,
