n 141548, BTC size 141548
40914.82778, 0
40914.86944, 0
40914.91111, 0
40914.95278, 0
40914.99444, 0
40915.03611, 0
40915.07778, 0
40915.11944, 0
40915.16111, 0
40915.20278, 0
40915.24444, 0
40915.28611, 0
40915.32778, 0
40915.36944, 0
40915.41111, 0
40915.45278, 0
40915.49444, 0
40915.53611, 0
40915.57778, 0
40915.61944, 0
40915.66111, 0
40915.70278, 0
40915.74444, 0
40915.78611, 0
40915.82778, 0
40915.86944, 0
40915.91111, 0
40915.95278, 0
40915.99444, 0
40916.03611, 0
40916.07778, 0
40916.11944, 0
40916.16111, 0
40916.20278, 0
40916.24444, 0
40916.28611, 0
40916.32778, 0
40916.36944, 0
40916.41111, 0
40916.45278, 0
40916.49444, 0
40916.53611, 0
40916.54722, 0
40916.55694, 0
40916.55972, 0
40916.56667, 0
40916.57778, 0.0001
40916.58403, 0.0001
40916.58889, 0.0001
40916.59722, 0.0001
40916.60625, 0.0001
40916.61944, 0
40916.62847, 0
40916.63403, 0
40916.63958, 0
40916.64306, 0
40916.64792, 0.0001
40916.65347, 0.0002
40916.66111, 0.0003
40916.66875, 0.0001
40916.67569, 0.0002
40916.69097, 0.0005
40916.69653, 0.0007
40916.70278, 0.0008
40916.70486, 0
40916.71181, 0.0001
40916.73403, 0.0004
40916.74028, 0.0004
40916.74444, 0.0003
40916.74792, 0
40916.78056, 0.0001
40916.78611, 0.0001
40916.82778, 0
40916.86944, 0
40916.91111, 0
40916.95278, 0
40916.99444, 0
40917.03611, 0
40917.07778, 0
40917.11944, 0
40917.16111, 0
40917.1875, 0
40917.20278, 0
40917.20625, 0
40917.24444, 0
40917.24653, 0
40917.25069, 0
40917.28611, 0
40917.30972, 0
40917.32778, 0
40917.35208, 0
40917.36944, 0
40917.41111, 0
40917.45278, 0
40917.49444, 0
40917.53611, 0
40917.57778, 0
40917.61944, 0
40917.66111, 0
40917.70278, 0
40917.74444, 0
40917.78611, 0
40917.82778, 0
40917.86944, 0
40917.91111, 0
40917.95278, 0
40917.99444, 0
40918.03611, 0
40918.07778, 0
40918.11944, 0
40918.16111, 0
40918.20278, 0
40918.24444, 0
40918.28611, 0
40918.32778, 0
40918.36944, 0
40918.375, 0
40918.3875, 0
40918.41111, 0
40918.43125, 0
40918.45278, 0
40918.47083, 0
40918.49444, 0
40918.49861, 0
40918.53611, 0.0003
40918.57778, 0.0001
40918.61944, 0
40918.66111, 0
40918.70278, 0.0001
40918.74444, 0.0006
40918.74792, 0.0001
40918.75278, 0.0003
40918.75903, 0.0004
40918.78611, 0.001
40918.82778, 0
40918.86944, 0.0008
40918.88403, 0.0004
40918.91111, 0.0006
40918.95278, 0.0002
40918.99444, 0.0014
40919.03611, 0.0008
40919.07778, 0.0001
40919.11944, 0.0001
40919.16111, 0.0012
40919.18403, 0.0002
40919.19306, 0.0003
40919.19931, 0.0003
40919.20278, 0.0002
40919.24444, 0
40919.25972, 0
40919.26875, 0
40919.28333, 0
40919.28611, 0
40919.29167, 0
40919.30278, 0
40919.31389, 0
40919.32431, 0
40919.32778, 0
40919.34583, 0
40919.36944, 0
40919.39931, 0
40919.40764, 0
40919.41111, 0
40919.45278, 0
40919.47986, 0
